Gender,Age,noise1,noise2,noise3,noise4,noise5,AggressionLevel
1,6,80,70,50,70,70,68
1,6,80,80,80,80,80,80
1,6,80,70,70,80,80,76
1,6,80,80,80,60,80,76
1,6,80,70,80,80,80,78
1,6,80,80,80,80,80,80
1,6,80,80,80,80,80,80
1,6,80,80,70,80,70,76
1,6,70,50,70,80,80,70
1,6,80,80,80,80,80,80
2,6,50,50,50,50,50,50
2,6,80,80,80,60,70,74
2,6,50,50,60,50,60,54
2,6,70,70,50,80,70,68
2,6,50,70,80,80,80,72
2,6,80,80,50,80,80,74
2,6,50,60,50,70,60,58
2,6,50,50,50,50,50,50
2,6,50,50,60,50,50,52
2,6,70,60,70,70,70,68
1,6,80,60,50,70,80,68
1,6,80,80,80,80,80,80
1,6,80,80,50,50,80,68
1,6,80,60,50,80,80,70
1,6,70,80,80,70,80,76
1,6,50,70,80,50,60,62
1,6,50,60,50,50,50,52
1,6,60,70,80,60,70,68
1,6,50,60,70,80,50,62
1,6,80,80,70,80,80,78
2,6,80,80,80,60,50,70
2,6,80,80,80,80,50,74
2,6,70,60,60,60,60,62
2,6,70,80,50,60,70,66
2,6,80,80,80,80,60,76
2,6,80,70,50,80,70,70
2,6,80,80,70,80,50,72
2,6,50,50,50,80,60,58
2,6,80,70,80,50,60,68
2,6,80,80,80,80,60,76
1,6,80,70,60,70,60,68
1,6,50,60,70,80,60,64
1,6,80,70,80,70,80,76
1,6,80,50,80,60,70,68
1,6,60,70,50,60,60,60
1,6,80,60,50,60,50,60
1,6,70,80,60,80,50,68
1,6,50,70,60,80,60,64
1,6,50,80,60,50,70,62
1,6,50,80,60,70,60,64
2,6,60,70,80,50,60,64
2,6,70,80,80,60,80,74
2,6,50,60,80,60,60,62
2,6,60,60,80,70,60,66
2,6,50,70,80,80,60,68
2,6,50,70,80,70,60,66
2,6,80,70,60,50,50,62
2,6,60,50,70,80,50,62
2,6,70,80,50,80,60,68
2,6,80,80,80,70,60,74
1,10,80,50,80,80,60,70
1,10,80,80,80,80,50,74
1,10,80,80,80,80,80,80
1,10,80,80,50,60,70,68
1,10,80,80,80,80,60,76
1,10,60,80,80,80,80,76
1,10,80,70,70,70,80,74
1,10,80,80,80,70,80,78
1,10,80,80,70,80,80,78
1,10,80,80,70,80,80,78
2,10,70,80,80,80,70,76
2,10,80,80,70,60,50,68
2,10,70,70,80,80,70,74
2,10,80,50,50,80,70,66
2,10,60,80,80,80,80,76
2,10,80,80,80,80,80,80
2,10,80,50,70,80,60,68
2,10,80,70,70,50,70,68
